Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
ARF6	Arf6	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ACY3	Aspa	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CEACAM20	Ceacam20	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Clec2h	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CNDP2	Cndp2	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CRIP1	Crip1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CUBN	Cubn	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DHCR24	Dhcr24	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DPEP1	Dpep1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ENPEP	Enpep	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FABP6	Fabp6	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FAM151A	Fam151a	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FGF19	Fgf15	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KRT20	Krt20	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MAF	Maf	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MEP1A	Mep1a	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MUC3A	Muc3	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MYH14	Myh14	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MYO15B	Myo15b	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NAALADL1	Naaladl1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NEU1	Neu1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NOSTRIN	Nostrin	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NUDT4	Nudt4	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
OCM	Ocm	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PHGR1	Phgr1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Plb1		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Plec		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Pmp22		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Prss30		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc13a1		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc34a2		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc51a		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc51b		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
	Slc7a9		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmigd1		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Vnn1		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Xpnpep1		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Xpnpep2		Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ACE	Ace	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ACSL5	Acsl5	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Adh6a	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
ALDH1A1	Aldh1a1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ALDOB	Aldob	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
								
APOA4	Apoa4	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
APOC3	Apoc3	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CKB	Ckb	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CKMT1A	Ckmt1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
COX7A1	Cox7a1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
CREB3L3	Creb3l3	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CYB5B	Cyb5b	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CYB5R3	Cyb5r3	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Cyp2c65	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Cyp2c66	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Cyp2d26	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Cyp3a13	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Cyp3a25	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DHRS1	Dhrs1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
EPHX2	Ephx2	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FABP1	Fabp1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GDA	Gda	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GPD1	Gpd1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GSTA1	Gsta1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
GSTA4	Gsta4	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GSTM3	Gstm3	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Gstm6	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	H2-Q2	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
HSD17B6	Hsd17b6	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KHK	Khk	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LCT	Lct	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LPGAT1	Lpgat1	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MME	Mme	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MS4A10	Ms4a10	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
MTTP	Mttp	Protein Coding	Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ppap2a		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Prap1		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rbp2		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rdh7		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Reg3a		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Retsat		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Scp2		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc2a2		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
	Slc5a1		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Sult1b1		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Treh		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ugdh		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Xdh		Enterocyte (Proximal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ANXA6	Anxa6	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
APLP1	Aplp1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BEX2	Bex2	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CACNA2D1	Cacna2d1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CCK	Cck	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CELF3	Celf3	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CHGB	Chgb	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CNOT6L	Cnot6l	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CPLX2	Cplx2	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FABP5	Fabp5	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
								
FAM183BP	Fam183b	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FEV	Fev	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GFRA3	Gfra3	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GNG4	Gng4	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GPX3	Gpx3	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
INSM1	Insm1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ISL1	Isl1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MAGED1	Maged1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NEUROD1	Neurod1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NEUROG3	Neurog3	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BEX3	Ngfrap1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NKX2-2	Nkx2-2	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
OLFM1	Olfm1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PAX6	Pax6	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PCSK1	Pcsk1	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PCSK1N	Pcsk1n	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Prnp		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Resp18		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Riiad1		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rimbp2		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rph3al		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Scg3		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Scg5		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Scgn		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Slc39a2		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tac1		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tox3		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Trp53i11		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Vim	Protein Coding	Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Vwa5b2		Enteroendocrine	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
AGR2	Agr2	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ARF4	Arf4	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ATOH1	Atoh1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	AW112010	ncRNA	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BACE2	Bace2	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BCAS1	Bcas1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
C1GALT1C1	C1galt1c1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CALR	Calr	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CAPN9	Capn9	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Ccl9	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CLCA1	Clca1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CMPK1	Cmpk1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CMTM7	Cmtm7	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CREB3L1	Creb3l1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CREB3L4	Creb3l4	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CRELD2	Creld2	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DAP	Dap	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DDOST	Ddost	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DNAJC10	Dnajc10	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ERGIC1	Ergic1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ERN2	Ern2	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Fcgbp	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FKBP11	Fkbp11	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FOXA3	Foxa3	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GALE	Gale	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GALNT12	Galnt12	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GALNT7	Galnt7	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GCNT3	Gcnt3	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GUCA2A	Guca2a	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GUK1	Guk1	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
HGFAC	Hgfac	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
HPD	Hpd	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KDELR2	Kdelr2	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KDELR3	Kdelr3	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KLF4	Klf4	Protein Coding	Goblet	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
